codigo,descricao
Z63,Problemas familiares
Z64,Problemas psicossociais
Z65,Problemas legais
Z70,Orientação sexual
Z71,Pessoas em contato com serviços de saúde
Z72,Problemas de estilo de vida
Z73,Problemas de gerenciamento
Z74,Problemas de dependência
Z75,Problemas de serviços de saúde
Z76,Pessoas em contato com serviços de saúde
Z80,Histórico familiar de neoplasias
Z81,Histórico familiar de doenças mentais
Z82,Histórico familiar de doenças
Z83,Histórico familiar de doenças
Z84,Histórico familiar de outras doenças
Z85,Histórico pessoal de neoplasias
Z86,Histórico pessoal de outras doenças
Z87,Histórico pessoal de outras doenças
Z88,Alergia a drogas
Z89,Histórico de amputação
Z90,Histórico de remoção de órgão
Z91,Histórico de fatores de risco
Z92,Histórico de tratamento
Z93,Histórico de dispositivo
Z94,Histórico de transplante
Z95,Histórico de dispositivo cardíaco
Z96,Histórico de dispositivo
Z97,Histórico de dispositivo
Z98,Histórico de procedimento cirúrgico
Z99,Dependência de dispositivos
